NAMA MESIN,KATEGORI,DESCRIPTION SPAREPART,PART NUMBER,QTY,NO. IN MANUAL BOOK,KATEGORI,DOCUMENT,SUPPLIER,NAMA,KONTAK,EMAIL,ALAMAT,,,,,
,,D.O.L. INSULATED SWITCH BOX,RS-528-7353,1,4,,11943-017-B,,,,,,,,,,
,,HAND KNOB M10,WDS-8161-217,1,5,,11943-017-B,,,,,,,,,,
,,THRUST WASHER,11913-023,1,6,,11943-017-B,,,,,,,,,,
,,FULL NUT M20 ST STL,MF-NF-M20-SS,1,7,,11943-017-B,,,,,,,,,,
,,FLAT WASHER 20 DIA,MF-WF-20DIA-SS,1,8,,11943-017-B,,,,,,,,,,
,,SPRING WASHER 20 DIA,MF-WS-20DIA-SS,1,9,,11943-017-B,,,,,,,,,,
,,DOME NUT M8 ST STL,FD-M8-SS,4,10,,11943-017-B,,,,,,,,,,
,,SETSCREW M8 X 25 STAINLESS,MF-SS-M8X25-SS,4,11,,11943-017-B,,,,,,,,,,
,,SPRING WASHER 8 DIA,MF-WS-8DIA-SS,4,12,,11943-017-B,,,,,,,,,,
,,FLAT WASHER 8 DIA,MF-WF-8DIA-SS,4,13,,11943-017-B,,,,,,,,,,
,,SPACER PLATE,11913-096,1,14,,11943-017-B,,,,,,,,,,
,,FLAT WASHER 4 DIA,MF-WF-4DIA-SS,2,15,,11943-017-B,,,,,,,,,,
,,DOME NUT M4 ST STL,FD-M4-SS,2,16,,11943-017-B,,,,,,,,,,
,,SPRING WASHER 4 DIA,MF-WS-4DIA-SS,2,17,,11943-017-B,,,,,,,,,,
,,C'SK SCREW M4X16LG ST STL,MF-SK-M4X16-SS,2,18,,11943-017-B,,,,,,,,,,
,,M16X1.5 CABLE GLAND,RS-444-3035,2,19,,11943-017-B,,,,,,,,,,
IBC DISCHARGE,05_Buffer Hopper,FAB: BUFFER HOPPER,BFM-20074,1,1,,13502-060-A,,,,,,,,,,
,,FAB: BUFFER HOPPER LID,BFM-20096,1,2,,13502-060-A,,,,,,,,,,
,,IBC INLET SEAL,BFM-20022TR,1,3,,13502-060-A,,,,,,,,,,
,,BAND CLAMP,CL-SH-0200,1,4,,13502-060-A,,,,,,,,,,
,,FILTER SOCK DIA 75,GK-BS-0200-EK,1,5,,13502-060-A,,,,,,,,,,
,,BAND CLAMPING STRIP,WE61.XXACARKMX,1,6,,13502-060-A,,,,,,,,,,
,,BAND CLAMP CLIP - STAINLESS,FJ-CLIP-SS,1,7,,13502-060-A,,,,,,,,,,
,,VEGA WAVE 61 TRI-CLAMP,FJ-SS,1,8,,13502-060-A,,,,,,,,,,
,,"2"" SEAL LIPPED EPDM BLACK",102-838,1,9,,13502-060-A,,,,,,,,,,
,,"2"" CLAMP (316L)",LV10533056BS4H,1,10,,13502-060-A,,,,,,,,,,
,,BFM TOOLING SPIGOT 200I/D 316L,102-964,1,11,,13502-060-A,,,,,,,,,,
,,SEEFLEX 040E 300DIA X 200,13502-062,1,12,,13502-060-A,,,,,,,,,,
,,BFM SEEFLEX 040,13502-061,1,13,,13502-060-A,,,,,,,,,,
,08_Assy-Parts,"BONDED WASHER 3/4"" BSP ST. STL.",BW-3/4-SS,1,1,,102-772-E,,,,,,,,,,
,,ELBOW ADAPTOR 3/4BSPTM-22 O/D,43 145 2268,1,2,,102-772-E,,,,,,,,,,
,,DUMP VALVE BRACKET FABRICATION,101-357,1,3,,102-772-E,,,,,,,,,,
,,"M & M 3/4"" DUMP VALVE N/O",RPG206CTX00,1,4,,102-772-E,,,,,,,,,,
,,"SILENCER - 3/4"" BSP(M)",0682 00 27,1,5,,102-772-E,,,,,,,,,,
,,"STRAIGHT ADAPTER 1/8""BSPT - 8mm",101250818,1,6,,102-772-E,,,,,,,,,,
,,3/4 BSP - 3/4 BSP NICKLE PLATED,ECP-T12\12NP,1,7,,102-772-E,,,,,,,,,,
,,3/4 BSP (F) TEE,160620068,1,8,,102-772-E,,,,,,,,,,
,,"12 O/D TUBE - 1/2""BSPT ADAPTOR",43 125 1248,1,9,,102-772-E,,,,,,,,,,
,,CONN 3/4BSPT (M) - 1/2BSPP (F) SS,150236848,1,10,,102-772-E,,,,,,,,,,
,,22MM NYLON TUBE (NATURAL),PA0022030,1,11,,102-772-E,,,,,,,,,,
,,8mm LLDPE TUBING (NATURAL),PE-0806-0100M-N,1,12,,102-772-E,,,,,,,,,,
,,12mm LLDPE TUBING (NATURAL),PE-1209-0100M-N,1,13,,102-772-E,,,,,,,,,,
,,SETSCREW M8X20LG ST STL,MF-SS-M8X20-SS,2,14,,102-772-E,,,,,,,,,,
