NAMA MESIN,KATEGORI,DESCRIPTION SPAREPART,PART NUMBER,QTY,NO. IN MANUAL BOOK,KATEGORI,DOCUMENT,SUPPLIER,NAMA,KONTAK,EMAIL,ALAMAT,,,,,
,,"Timing belt AT10 (Width: 16 mm, Length: 1080 mm)",31-03-381,1,8,,SparePart 2.14.013 Hal 49,,,,,,,,,,
,,Cross strut / Cross brace (for flap station),700.01.207.00,1,9,,SparePart 2.14.013 Hal 49,,,,,,,,,,
,,Spacer (for cross strut),700.01.131.00,2,10,,SparePart 2.14.013 Hal 49,,,,,,,,,,
,,Tensioning bolt / Clamping pin,700.44.178.00,1,11,,SparePart 2.14.013 Hal 49,,,,,,,,,,
,,Backing bracket / Counter-holder (for tensioner slide),700.44.179.00,1,12,,SparePart 2.14.013 Hal 49,,,,,,,,,,
,,Tensioning slide / Belt tensioner,700.44.180.00,1,13,,SparePart 2.14.013 Hal 49,,,,,,,,,,
,,Straight flap / Flap plate (flap station),700.44.294.00,2,14,,SparePart 2.14.013 Hal 49,,,,,,,,,,
,,External retaining ring / Circlip A12 DIN 471 (Stainless steel),31-00-697,1,15,,SparePart 2.14.013 Hal 49,,,,,,,,,,
,,Counter-holder / Backing bracket (for tensioning bolt),700.44.177.00,1,16,,SparePart 2.14.013 Hal 49,,,,,,,,,,
,,"Timing belt pulley AT10 (14 teeth, belt width 16 mm)",2.1500.0168,1,17,,SparePart 2.14.013 Hal 49,,,,,,,,,,
,,Lenze motor mounting bracket / Angle bracket,700.44.447.00,1,18,,SparePart 2.14.013 Hal 49,,,,,,,,,,
,,"Servo motor (U3000, 400V, 0.5 kW)",34-00-770,1,19,,SparePart 2.14.013 Hal 49,,,,,,,,,,
,Cover simple,shore back LH,852.01.219.00,1,1,,SparePart 2.14.013 Hal 50,,,,,,,,,,
,,shore edgewise center LH Mitte,852.01.209.00,1,2,,SparePart 2.14.013 Hal 50,,,,,,,,,,
,,shore edgewise RH Mitte,852.01.155.01,1,3,,SparePart 2.14.013 Hal 50,,,,,,,,,,
,,shore edgewise top RH-LH,852.01.159.00,42.04,4,,SparePart 2.14.013 Hal 50,,,,,,,,,,
,,shore edgewise center L0440,852.01.152.01,2,5,,SparePart 2.14.013 Hal 50,,,,,,,,,,
,,shore front left LH L0820,852.01.153.01,1,6,,SparePart 2.14.013 Hal 50,,,,,,,,,,
,,shore front right RH L0820,852.01.154.01,1,7,,SparePart 2.14.013 Hal 50,,,,,,,,,,
,,shore front top,852.01.200.00,1,8,,SparePart 2.14.013 Hal 50,,,,,,,,,,
,,shore front - bottom,852.01.201.00,1,9,,SparePart 2.14.013 Hal 50,,,,,,,,,,
,,shore back - top,852.01.202.00,1,10,,SparePart 2.14.013 Hal 50,,,,,,,,,,
,,lateral plate,852.01.164.00,2,11,,SparePart 2.14.013 Hal 50,,,,,,,,,,
,,lateral plate,852.01.166.00,2,12,,SparePart 2.14.013 Hal 50,,,,,,,,,,
,,door,852.01.205.00,2,13,,SparePart 2.14.013 Hal 50,,,,,,,,,,
,,hinge 50x50 VA,31-02-040_180-Grad,4,14,,SparePart 2.14.013 Hal 50,,,,,,,,,,
,,distance plate magnet,852.01.171.00,4,15,,SparePart 2.14.013 Hal 50,,,,,,,,,,
,,magnetic catch 8,31-02-514,5,16,,SparePart 2.14.013 Hal 50,,,,,,,,,,
,,handle 120x43 /VA,31-01-299,3,17,,SparePart 2.14.013 Hal 50,,,,,,,,,,
,,bolting device,3.852.01.033.00,1,18,,SparePart 2.14.013 Hal 50,,,,,,,,,,
,,bolting device,3.852.01.033.00,1,19,,SparePart 2.14.013 Hal 50,,,,,,,,,,
,,angle,852.01.192.00,2,20,,SparePart 2.14.013 Hal 50,,,,,,,,,,
,,sensor Nr.: 101213954,32-03-279,3,21,,SparePart 2.14.013 Hal 50,,,,,,,,,,
,,actuation Nr.: 101213820,32-03-280,3,22,,SparePart 2.14.013 Hal 50,,,,,,,,,,
,,gudgeon M4,2.0120.0003,6,23,,SparePart 2.14.013 Hal 50,,,,,,,,,,
,,gudgeon M6,2.0120.0001,26,24,,SparePart 2.14.013 Hal 50,,,,,,,,,,
,,block,852.01.206.00,24,25,,SparePart 2.14.013 Hal 50,,,,,,,,,,
,,pane,2.0127.0027,24,26,,SparePart 2.14.013 Hal 50,,,,,,,,,,
,,fixture,700.01.011.00,4,27,,SparePart 2.14.013 Hal 50,,,,,,,,,,
,,input D13.7 d6.0 H03.5,700.01.191.00,24,28,,SparePart 2.14.013 Hal 50,,,,,,,,,,
,,lateral plate,852.01.208.00,1,29,,SparePart 2.14.013 Hal 50,,,,,,,,,,
,,back plate,852.01.221.00,1,30,,SparePart 2.14.013 Hal 50,,,,,,,,,,
,,"hinge 76x50, VA",31-01-178,2,31,,SparePart 2.14.013 Hal 50,,,,,,,,,,
,,angle holder,852.01.196.00,1,32,,SparePart 2.14.013 Hal 50,,,,,,,,,,
,,holder,852.01.197.00,1,33,,SparePart 2.14.013 Hal 50,,,,,,,,,,
,,cam B4,780.01.076.00,6,34,,SparePart 2.14.013 Hal 50,,,,,,,,,,
,,"washer d008,5 D20 L005",2.0125.0107,6,35,,SparePart 2.14.013 Hal 50,,,,,,,,,,
,,"U-washer d08,4 A2 groß",52-10-019-Scheibe,6,36,,SparePart 2.14.013 Hal 50,,,,,,,,,,
,,distance bushing,2.4000.0087,8,37,,SparePart 2.14.013 Hal 50,,,,,,,,,,
,,cable basket tray 040x020 VA,32-02-465_L1005,1,38,,SparePart 2.14.013 Hal 50,,,,,,,,,,
,,"U-washer d06,4 A2 groß",52-10-006,8,39,,SparePart 2.14.013 Hal 50,,,,,,,,,,
,,cable basket tray 040x020 VA,32-02-465_L405,1,40,,SparePart 2.14.013 Hal 50,,,,,,,,,,
,,cable basket tray 040x020 VA,32-02-465_L1105,1,41,,SparePart 2.14.013 Hal 50,,,,,,,,,,
,,plate,125.20.146.00.4,4,42,,SparePart 2.14.013 Hal 50,,,,,,,,,,
,,cover plate,852.01.214.00,1,43,,SparePart 2.14.013 Hal 50,,,,,,,,,,
,,distance bushing,2.4000.0311,6,44,,SparePart 2.14.013 Hal 50,,,,,,,,,,
,,distance,852.01.198.00,2,45,,SparePart 2.14.013 Hal 50,,,,,,,,,,
,,bolting device,3.700.01.036.00,1,46,,SparePart 2.14.013 Hal 50,,,,,,,,,,
,,shore back RH,852.01.210.00,1,47,,SparePart 2.14.013 Hal 50,,,,,,,,,,
,spoon pulsing ratchet,separation ratchet,852.33.299.03,1,1,,SparePart 2.14.013 Hal 51,,,,,,,,,,
,,needle bush 8x10 8x10mm,31-01-254,1,2,,SparePart 2.14.013 Hal 51,,,,,,,,,,
,,shaft D08 L021 M4,2.5001.0112,1,3,,SparePart 2.14.013 Hal 51,,,,,,,,,,
,,washer,852.30.021.00.4,1,4,,SparePart 2.14.013 Hal 51,,,,,,,,,,
,,joint ball m6,31-00-420,1,5,,SparePart 2.14.013 Hal 51,,,,,,,,,,
,,"attempt washer d08 D15 L0,5",31-02-597,1,6,,SparePart 2.14.013 Hal 51,,,,,,,,,,
,,throttle check valve M5/x4,30-10-061,1,7,,SparePart 2.14.013 Hal 51,,,,,,,,,,
,,bolt,852.30.022.00,1,8,,SparePart 2.14.013 Hal 51,,,,,,,,,,
,,hexagon screw m4x12,50-10-076,1,9,,SparePart 2.14.013 Hal 51,,,,,,,,,,
,,cylinder,30-00-397,1,10,,SparePart 2.14.013 Hal 51,,,,,,,,,,
,Löffel L67 D27 H24,base plate  RH/LH,852.30.294.00,1,1,,SparePart 2.14.013 Hal 52,,,,,,,,,,
,,slide-in plate LH spoon 75mm,852.30.293.00,1,2,,SparePart 2.14.013 Hal 52,,,,,,,,,,
,,spacer  D20 L067,852.30.286.00,5,3,,SparePart 2.14.013 Hal 52,,,,,,,,,,
,,motor Controller,34-00-558,1,4,,SparePart 2.14.013 Hal 52,,,,,,,,,,
,,motor flange,852.30.292.00,1,5,,SparePart 2.14.013 Hal 52,,,,,,,,,,
,,rotation stage D150 t6,852.30.290.00,1,6,,SparePart 2.14.013 Hal 52,,,,,,,,,,
,,vakuum channel,852.30.015.00.3,1,7,,SparePart 2.14.013 Hal 52,,,,,,,,,,
,,vakuum channel,852.30.014.00.3,1,8,,SparePart 2.14.013 Hal 52,,,,,,,,,,
,,suction flange,852.30.041.00,2,9,,SparePart 2.14.013 Hal 52,,,,,,,,,,
,,holder sensor H74,852.30.284.00,1,10,,SparePart 2.14.013 Hal 52,,,,,,,,,,
,,inductive prox switch,32-03-407,1,11,,SparePart 2.14.013 Hal 52,,,,,,,,,,
,,clutch box M12 5,32-00-770,1,12,,SparePart 2.14.013 Hal 52,,,,,,,,,,
,,noise protection sheet,852.30.080.00,2,13,,SparePart 2.14.013 Hal 52,,,,,,,,,,
,,adapter,852.30.094.00,1,14,,SparePart 2.14.013 Hal 52,,,,,,,,,,
,,guide plate r55,852.30.287.00,1,15,,SparePart 2.14.013 Hal 52,,,,,,,,,,
,,washer,52-10-004,7,16,,SparePart 2.14.013 Hal 52,,,,,,,,,,
,,hexagon screw M5x25,50-10-023,7,17,,SparePart 2.14.013 Hal 52,,,,,,,,,,
,,washer,"52-10-009_U-Scheibed04,3",2,18,,SparePart 2.14.013 Hal 52,,,,,,,,,,
,,hexagon screw m4x16,50-10-065,2,19,,SparePart 2.14.013 Hal 52,,,,,,,,,,
,,countersunk screw m5x16,50-10-123,5,20,,SparePart 2.14.013 Hal 52,,,,,,,,,,
,,countersunk screw m4x12,50-10-118,12,21,,SparePart 2.14.013 Hal 52,,,,,,,,,,
,,"washer 6,4",52-10-002,4,22,,SparePart 2.14.013 Hal 52,,,,,,,,,,
,,cylinder screw m6x25,50-10-004,4,23,,SparePart 2.14.013 Hal 52,,,,,,,,,,
,,countersunk screw m5x10,50-10-121,8,24,,SparePart 2.14.013 Hal 52,,,,,,,,,,
,,grub screw m6x10 A2,50-10-007,1,25,,SparePart 2.14.013 Hal 52,,,,,,,,,,
,Spoons ejection left,rail 15-C-1-R-150-Z0-CM,31-02-888-MGN-15-H-Schiene,1,1,,SparePart 2.14.013 Hal 53,,,,,,,,,,
,,carria,31-02-888-MGN-15-H-Wagen,1,2,,SparePart 2.14.013 Hal 53,,,,,,,,,,
,,suppüort plate,852.30.043.00.4,1,3,,SparePart 2.14.013 Hal 53,,,,,,,,,,
,,holder H55,852.30.285.00,1,4,,SparePart 2.14.013 Hal 53,,,,,,,,,,
,,holder L122.5,852.30.260.00,1,5,,SparePart 2.14.013 Hal 53,,,,,,,,,,
,,slider,852.30.059.00.3,1,6,,SparePart 2.14.013 Hal 53,,,,,,,,,,
,,bearing d005D016B05,31-00-012,2,7,,SparePart 2.14.013 Hal 53,,,,,,,,,,
,,space washer 06x12x0.5,31-01-905,2,8,,SparePart 2.14.013 Hal 53,,,,,,,,,,
,,bolt,852.30.082.00,1,9,,SparePart 2.14.013 Hal 53,,,,,,,,,,
,,nipple,852.34.001.00,1,10,,SparePart 2.14.013 Hal 53,,,,,,,,,,
,,hexagonal nut  M06 A2,51-10-055,1,11,,SparePart 2.14.013 Hal 53,,,,,,,,,,
,,aspirator D14 H15,30-50-487,1,12,,SparePart 2.14.013 Hal 53,,,,,,,,,,
,,level,852.30.085.00.4,1,13,,SparePart 2.14.013 Hal 53,,,,,,,,,,
,,"U-washer 6,4",52-10-002,5,14,,SparePart 2.14.013 Hal 53,,,,,,,,,,
,,jouint ball M6,31-00-657,1,15,,SparePart 2.14.013 Hal 53,,,,,,,,,,
,,hexagon screw M06x25,50-10-062,3,16,,SparePart 2.14.013 Hal 53,,,,,,,,,,
,,distance shaft,852.30.045.00.4,1,17,,SparePart 2.14.013 Hal 53,,,,,,,,,,
,,hexagonal nut M06 A2,51-10-018,1,18,,SparePart 2.14.013 Hal 53,,,,,,,,,,
,,joint ball M8,31-00-052,1,19,,SparePart 2.14.013 Hal 53,,,,,,,,,,
,,hexagonal nut M8,51-10-001,1,20,,SparePart 2.14.013 Hal 53,,,,,,,,,,
,,distance washer,2.0125.0054,1,21,,SparePart 2.14.013 Hal 53,,,,,,,,,,
,,"U-washer d8,4 A2",52-10-001,1,22,,SparePart 2.14.013 Hal 53,,,,,,,,,,
,,hexagon screw M8x25,50-10-067,1,23,,SparePart 2.14.013 Hal 53,,,,,,,,,,
,,screwd pin M04x10 A2,50-10-047,2,24,,SparePart 2.14.013 Hal 53,,,,,,,,,,
,,"tension spring d0,8",31-01-162 3.852.30.014.01,1,25,,SparePart 2.14.013 Hal 53,,,,,,,,,,
,,hexagon screw,50-10-073M06x30,1,26,,SparePart 2.14.013 Hal 53,,,,,,,,,,
,,cylinder screw M3x16,50-10-254,5,27,,SparePart 2.14.013 Hal 53,,,,,,,,,,
,,cylinder screw M3x12 A2,50-10-204,4,28,,SparePart 2.14.013 Hal 53,,,,,,,,,,
,infeed spoon inserter,profile rail L=180,31-02-918_Profilschiene,1,09-a,,SparePart 2.14.013 Hal 54,,,,,,,,,,
,,carrier,31-02-918_Laufwagen,1,09-b,,SparePart 2.14.013 Hal 54,,,,,,,,,,
,,holder,852.30.001.00.4,1,3,,SparePart 2.14.013 Hal 54,,,,,,,,,,
,,hexagon screw m4x16,50-10-065,4,4,,SparePart 2.14.013 Hal 54,,,,,,,,,,
,,"washer d4,3","52-10-009_U-Scheibed04,3",4,5,,SparePart 2.14.013 Hal 54,,,,,,,,,,
,,"washer 6,4",52-10-002,9,6,,SparePart 2.14.013 Hal 54,,,,,,,,,,
,,cylinder screw m3x16,50-10-254,3,7,,SparePart 2.14.013 Hal 54,,,,,,,,,,
,,hexagon screw m6x25,50-10-062,6,8,,SparePart 2.14.013 Hal 54,,,,,,,,,,
,,hexagon screw m6x20,50-10-010,2,9,,SparePart 2.14.013 Hal 54,,,,,,,,,,
,,"u-washer 6,4",52-10-006,1,10,,SparePart 2.14.013 Hal 54,,,,,,,,,,
,,hexagon nut m6 lh,51-10-018,1,10,,SparePart 2.14.013 Hal 54,,,,,,,,,,
,,hexagon nut m8,51-10-001,1,11,,SparePart 2.14.013 Hal 54,,,,,,,,,,
,,joint head m6 lh,31-00-657,1,12,,SparePart 2.14.013 Hal 54,,,,,,,,,,
,,joint head m8,31-00-052,1,13,,SparePart 2.14.013 Hal 54,,,,,,,,,,
,,hexagon screw m6x45,50-10-024,1,14,,SparePart 2.14.013 Hal 54,,,,,,,,,,
,,"washer d8,5 D15 L10",2.0125.0055,1,15,,SparePart 2.14.013 Hal 54,,,,,,,,,,
,,flange,852.30.007.00.4,1,16,,SparePart 2.14.013 Hal 54,,,,,,,,,,
,,bearing d012 D028 B08 VA,31-00-102,2,17,,SparePart 2.14.013 Hal 54,,,,,,,,,,
,,"locker ring 28x1,2 VA",31-00-699,2,18,,SparePart 2.14.013 Hal 54,,,,,,,,,,
,,toothed belt wheel T10 Zz20,2.1500.0146,1,19,,SparePart 2.14.013 Hal 54,,,,,,,,,,
,,grub screw m6x12,50-10-035,2,20,,SparePart 2.14.013 Hal 54,,,,,,,,,,
,,holder,852.30.008.00.4,1,21,,SparePart 2.14.013 Hal 54,,,,,,,,,,
,,prox switch M12,32-02-642,1,22,,SparePart 2.14.013 Hal 54,,,,,,,,,,
,,clutch box M12 5pol,32-00-770,1,23,,SparePart 2.14.013 Hal 54,,,,,,,,,,
,,drive shaft,852.30.009.00.4,1,24,,SparePart 2.14.013 Hal 54,,,,,,,,,,
,,feather key 4x4x20 DIN 6885 VA,31-01-568,1,25,,SparePart 2.14.013 Hal 54,,,,,,,,,,
,,space washer 12x18x1,31-01-321,2,26,,SparePart 2.14.013 Hal 54,,,,,,,,,,
,,support plate infeed,852.30.283.00,1,27,,SparePart 2.14.013 Hal 54,,,,,,,,,,
,,support,852.30.288.00,1,28,,SparePart 2.14.013 Hal 54,,,,,,,,,,
,,shaft,852.30.045.00.4,1,29,,SparePart 2.14.013 Hal 54,,,,,,,,,,
,,lever,852.30.289.00,1,30,,SparePart 2.14.013 Hal 54,,,,,,,,,,
,,pusher r15 l180,852.30.291.00,1,31,,SparePart 2.14.013 Hal 54,,,,,,,,,,
,,hexagon screw,50-10-216,1,32,,SparePart 2.14.013 Hal 54,,,,,,,,,,
,,"washer d8,4",52-10-001,1,33,,SparePart 2.14.013 Hal 54,,,,,,,,,,
,,hexagon screw m8x35,50-10-068,1,34,,SparePart 2.14.013 Hal 54,,,,,,,,,,
,drive side in/out,toothed belt wheel B021 z020 d015 31 T10/20-2,2.1510.3004,1,1,,SparePart 2.14.013 Hal 55,,,,,,,,,,
,,toothed belt wheel  B16 Z20,2.1500.0147,2,2,,SparePart 2.14.013 Hal 55,,,,,,,,,,
,,motor plate drive,852.30.046.00,1,3,,SparePart 2.14.013 Hal 55,,,,,,,,,,
,,fixure motor plate,852.30.047.00,1,4,,SparePart 2.14.013 Hal 55,,,,,,,,,,
,,holder,852.30.048.00.3,1,5,,SparePart 2.14.013 Hal 55,,,,,,,,,,
,,tensioning roller,121.06.004.00,1,6,,SparePart 2.14.013 Hal 55,,,,,,,,,,
,,tensioning roller,123.06.019.00,1,7,,SparePart 2.14.013 Hal 55,,,,,,,,,,
,,locker ring i28 DIN472/439,31-00-429,1,8,,SparePart 2.14.013 Hal 55,,,,,,,,,,
,,bearing,31-00-020,2,9,,SparePart 2.14.013 Hal 55,,,,,,,,,,
,,locker ring a12 DIN 471,31-00-697,1,10,,SparePart 2.14.013 Hal 55,,,,,,,,,,
,,angle gear box i=1,34-00-409-Dummy,1,11,,SparePart 2.14.013 Hal 55,,,,,,,,,,
,,timing belt 16x440,31-00-287_Löffelbeileger,1,12,,SparePart 2.14.013 Hal 55,,,,,,,,,,
,,connection box motor,520.06.001.00,1,13,,SparePart 2.14.013 Hal 55,,,,,,,,,,
,,bearing d15 D24 B7,31-02-211,1,14,,SparePart 2.14.013 Hal 55,,,,,,,,,,
,,gear motor,34-00-523-3.852.30.006,1,15,,SparePart 2.14.013 Hal 55,,,,,,,,,,
,,timing belt 16x660,31-00-290_(3.852.30.068.00),1,16,,SparePart 2.14.013 Hal 55,,,,,,,,,,
,support for sensor,ledge,852.33.511.00,1,1,,SparePart 2.14.013 Hal 56,,,,,,,,,,
,,space plate,852.33.512.00,1,2,,SparePart 2.14.013 Hal 56,,,,,,,,,,
,,"U-washer  d8,4 A2",52-10-001,2,3,,SparePart 2.14.013 Hal 56,,,,,,,,,,
,,"U-washer d06,4 A2- groß",52-10-006,1,4,,SparePart 2.14.013 Hal 56,,,,,,,,,,
,,hexagon screw  M6x20,50-10-010,1,5,,SparePart 2.14.013 Hal 56,,,,,,,,,,
,,cyalinder screw M4x10,50-10-060,2,6,,SparePart 2.14.013 Hal 56,,,,,,,,,,
,,"distance bushing D15 L25 d8,5",2.4000.0007,2,7,,SparePart 2.14.013 Hal 56,,,,,,,,,,
,,hexagon screw M8x50,50-10-102,2,8,,SparePart 2.14.013 Hal 56,,,,,,,,,,
,Einschieber finger links,support,852.33.300.00.3,1,1,,SparePart 2.14.013 Hal 57,,,,,,,,,,
,,rail carrier L180,31-02-652_Schiene,1,2,,SparePart 2.14.013 Hal 57,,,,,,,,,,
,,carrier EGH15CA,31-02-652_Wagen,1,3,,SparePart 2.14.013 Hal 57,,,,,,,,,,
,,holder slide lh,852.33.514.00,1,4,,SparePart 2.14.013 Hal 57,,,,,,,,,,
,,extension slide,852.33.516.00,1,5,,SparePart 2.14.013 Hal 57,,,,,,,,,,
,,hexagon screw m04x12,50-10-118,4,6,,SparePart 2.14.013 Hal 57,,,,,,,,,,
,,slide,852.33.515.00,1,7,,SparePart 2.14.013 Hal 57,,,,,,,,,,
,,hexagon screw m04x20,50-10-119,6,8,,SparePart 2.14.013 Hal 57,,,,,,,,,,
,,holder,852.33.128.00.4,1,9,,SparePart 2.14.013 Hal 57,,,,,,,,,,
,,flap LH,852.33.269.00.4,1,10,,SparePart 2.14.013 Hal 57,,,,,,,,,,
,,needle bushing  8x10mm,31-01-254,2,11,,SparePart 2.14.013 Hal 57,,,,,,,,,,
,,shim ring 06x12x0.5,31-01-905,6,12,,SparePart 2.14.013 Hal 57,,,,,,,,,,
,,bearing 626 2RS,31-00-399,4,13,,SparePart 2.14.013 Hal 57,,,,,,,,,,
,,"distance bushes D10 l009 d6,1",2.4000.0218,1,14,,SparePart 2.14.013 Hal 57,,,,,,,,,,
,,hexagon screw m06x30,50-10-073M06x30,1,15,,SparePart 2.14.013 Hal 57,,,,,,,,,,
,,"attempt washer D15 d08  L1,5",31-01-578,2,16,,SparePart 2.14.013 Hal 57,,,,,,,,,,
,,shaft D08 L037 M04,2.5001.0110,1,17,,SparePart 2.14.013 Hal 57,,,,,,,,,,
,,washer,2.0126.0013,1,18,,SparePart 2.14.013 Hal 57,,,,,,,,,,
,,finger LH,852.33.305.00.3,1,19,,SparePart 2.14.013 Hal 57,,,,,,,,,,
,,cylinder screw m4x20,50-10-140,3,20,,SparePart 2.14.013 Hal 57,,,,,,,,,,
,,holder,852.33.195.00.4,1,21,,SparePart 2.14.013 Hal 57,,,,,,,,,,
,,hexagon screw m04x16,50-10-065,2,22,,SparePart 2.14.013 Hal 57,,,,,,,,,,
,,"washer d04,3","52-10-009_U-Scheibed04,3",4,23,,SparePart 2.14.013 Hal 57,,,,,,,,,,
,,spring bolt,852.33.133.00.4,1,24,,SparePart 2.14.013 Hal 57,,,,,,,,,,
,,pressure spring,31-02-702,1,25,,SparePart 2.14.013 Hal 57,,,,,,,,,,
,,holder curve,852.33.306.01.3,1,26,,SparePart 2.14.013 Hal 57,,,,,,,,,,
,,cylinder screw m4x25,50-10-141,2,27,,SparePart 2.14.013 Hal 57,,,,,,,,,,
,,hexagon screw m06x16,50-10-075,1,28,,SparePart 2.14.013 Hal 57,,,,,,,,,,
,,curve,852.33.136.01,1,29,,SparePart 2.14.013 Hal 57,,,,,,,,,,
,,hexagon screw m05x12,50-10-146,2,30,,SparePart 2.14.013 Hal 57,,,,,,,,,,
,,gate,852.33.225.01,1,31,,SparePart 2.14.013 Hal 57,,,,,,,,,,
,,"distance bushes D10 l4,5 d6,1",2.4000.0264,1,32,,SparePart 2.14.013 Hal 57,,,,,,,,,,
,,hexagon screw m06x18,50-10-096,1,33,,SparePart 2.14.013 Hal 57,,,,,,,,,,
,,set screw m04x06,50-10-019,1,34,,SparePart 2.14.013 Hal 57,,,,,,,,,,
CARTONER DIENST,"Release flap HL 10""L",clamp 60x60x40,4.0102.0001,2,1,,5.0102.0118,,,,,,,,,,
,,clamping block 60x60x20,4.0102.0002,1,2,,5.0102.0118,,,,,,,,,,
,,clamping holder 60x60x20,4.0102.0003,2,3,,5.0102.0118,,,,,,,,,,
,,"swivel ledge 20x10x122,5",4.0102.0004,1,4,,5.0102.0118,,,,,,,,,,
,,hexagonal shaft SW10 SW10x130,4.0102.0337,1,5,,5.0102.0118,,,,,,,,,,
,,stopper ledge short 40x10x200,4.0102.0006,1,6,,5.0102.0118,,,,,,,,,,
,,square piece 40x40x25,4.0102.0008,4,7,,5.0102.0118,,,,,,,,,,
,,initiator holder 25x10x40,4.0102.0009,1,8,,5.0102.0118,,,,,,,,,,
,,distance sleeve Ø20x10,4.0102.0013,1,9,,5.0102.0118,,,,,,,,,,
,,"distance Ø10x23,5",4.0102.0014,1,10,,5.0102.0118,,,,,,,,,,
,,shaft L=730 Ø20xL,4.0102.0019,1,11,,5.0102.0118,,,,,,,,,,
,,stopper ledge long 40x10x330,4.0102.0269,1,12,,5.0102.0118,,,,,,,,,,
,,overload flap HK left 3x500x651,4.0102.0388,1,13,,5.0102.0118,,,,,,,,,,
,,bearing block 60x20x60,4.1401.0013,2,14,,5.0102.0118,,,,,,,,,,
,,swivel head with inside thread,3.0000.0382,1,100,,5.0102.0118,,,,,,,,,,
,,swivel head with inside thread,3.0000.0383,1,101,,5.0102.0118,,,,,,,,,,
,,grooved ball bearing 6004-2RS,3.0000.0491,2,102,,5.0102.0118,,,,,,,,,,
,,guard ring A 20,3.0000.4300,2,103,,5.0102.0118,,,,,,,,,,
,,guard ring I 42,3.0000.0168,2,104,,5.0102.0118,,,,,,,,,,
,Detection open flap,mounting plate 20x10x35,4.0104.0001,2,1,,5.0104.0001,,,,,,,,,,
,,clamp 30x30x65,4.0104.0002,4,2,,5.0104.0001,,,,,,,,,,
,,axle - vertical Ø15x250,4.0104.0003,2,3,,5.0104.0001,,,,,,,,,,
,,axle - horizontal Ø15x75,4.0104.0004,2,4,,5.0104.0001,,,,,,,,,,
,,cable guide Ø10x265,401.040.010,2,5,,5.0104.0001,,,,,,,,,,
,,distance sleeve Ø10x5,401.040.011,2,6,,5.0104.0001,,,,,,,,,,
,,hexagonal nut M8,300.000.109,2,101,,5.0104.0001,,,,,,,,,,
,Glue nozzle mounting HK-Nordson,holder 50x20x40,4.7208.0012,2,1,,5.1001.0149,,,,,,,,,,
,,base plate 40x20x156,4.7208.0099,2,2,,5.1001.0149,,,,,,,,,,
,,guide block 50x40x95,4.7208.0097,2,3,,5.1001.0149,,,,,,,,,,
,,adjustment spindle M16 x 217,4.7208.0098,2,4,,5.1001.0149,,,,,,,,,,
,,adjustment shaft Ø15 x 133,4.7208.0101,4,5,,5.1001.0149,,,,,,,,,,
,,head plate 40x15x95,4.7208.0100,2,6,,5.1001.0149,,,,,,,,,,
,,shaft SW13x80,4.7208.0018,2,7,,5.1001.0149,,,,,,,,,,
,,knurled handle Ø40x20,4.7208.0011,2,8,,5.1001.0149,,,,,,,,,,
,,thread flange Ø40 x 24,4.7208.0102,2,9,,5.1001.0149,,,,,,,,,,
,,holder for light sensor D=12 2x50x75,4.7208.0054,1,10,,5.1001.0149,,,,,,,,,,
,,protection sheet for gluing laser part Bl.2 x 220 x 220,4.1001.0318,2,11,,5.1001.0149,,,,,,,,,,
,,adjustment ledge 8x40x100,4.1001.0463,2,12,,5.1001.0149,,,,,,,,,,
,,slide bearing Ø15 innen,3.0001.2142,8,100,,5.1001.0149,,,,,,,,,,
,,slide bearing Ø12 innen,3.0001.2143,4,101,,5.1001.0149,,,,,,,,,,
,,digital display,3.0000.4158,2,102,,5.1001.0149,,,,,,,,,,
,,hexagonal nut M10,3.0000.0204,2,103,,5.1001.0149,,,,,,,,,,
,,"adhesive melters, modell problue 7",3.0000.1003,1,104,,5.1001.0149,,,,,,,,,,
,,"application head SureBead A-1-T 0,20mm",3.0001.2039,2,105,,5.1001.0149,,,,,,,,,,
,,"Saturn in-line filter 100 mesh, 45o",3.0000.4046,2,106,,5.1001.0149,,,,,,,,,,
,,"hose auto RTD 240V 2,4m RTD 240V 2,4mtr.",3.0000.8712,2,107,,5.1001.0149,,,,,,,,,,
,Suction arm for rotary box erector,suction pipe arm,4.1201.0631,3,1,,5.1201.0259,,,,,,,,,,
,,suction pipe SW17 for suction cups Ø40 SW17x52,4.1201.0016,9,2,,5.1201.0259,,,,,,,,,,
,,bellows suction cup,3.0001.4365,9,100,,5.1201.0259,,,,,,,,,,
,,"plug screw 2611-1/4""""",3.0000.0836,15,101,,5.1201.0259,,,,,,,,,,
,,seal ring DR 14 K,3.0000.9649,24,104,,5.1201.0259,,,,,,,,,,
,"Short flap folder, left - standard parts",folding lever,4.1301.0377,2,1,,5.1301.0004,,,,,,,,,,
,,hollow shaft Ø30x125,4.1301.0013,1,2,,5.1301.0004,,,,,,,,,,
,,clamp left 40x20x70,4.1301.0015,2,3,,5.1301.0004,,,,,,,,,,
,,"cover Ø27,1x10",4.1301.0016,1,4,,5.1301.0004,,,,,,,,,,
,,adjusting ring Ø30 light,3.0000.0187,2,100,,5.1301.0004,,,,,,,,,,
,"Short flap folder, right - standard parts",folding lever,4.1301.0377,2,1,,5.1301.0007,,,,,,,,,,
,,hollow shaft Ø30x125,4.1301.0013,1,2,,5.1301.0007,,,,,,,,,,
